source,target
1477144962286243849,1471504126890557446
1477144962286243849,1250017084890726405
1477144962286243849,1472558789698019330
1477144962286243849,1366336069319335943
1477144962286243849,778520107177738240
1477144962286243849,1355748483127369730
1477144962286243849,827629337809653761
1477144962286243849,780439554784366592
1477144962286243849,1429603854
1477144962286243849,2469365941
1477144962286243849,974875971110158336
1196316777279393792,1509878314516680712
1196316777279393792,1436187424506277898
1196316777279393792,1472558789698019330
1196316777279393792,1489178779738013698
1196316777279393792,1052239813418475522
1196316777279393792,860040731674775552
1196316777279393792,1158082192041488384
1196316777279393792,1475691974845886464
1196316777279393792,995926266032242688
1196316777279393792,725384293766291456
1196316777279393792,804911994717384705
1196316777279393792,1449409885687275520
1196316777279393792,1407403786876985345
1196316777279393792,2480095808
1196316777279393792,1079817709888593920
1196316777279393792,866628239468355585
1196316777279393792,1281945257949581313
1196316777279393792,764762412339769344
1196316777279393792,1162751751658721281
1196316777279393792,840136696054202369
1196316777279393792,1277601622546247680
1196316777279393792,1232709785159495680
1196316777279393792,1006252267740303362
1184475769482825728,3220242762
1184475769482825728,1468957860
1184475769482825728,3274985820
1184475769482825728,1472558789698019330
1184475769482825728,3034153315
1184475769482825728,1429603854
1184475769482825728,1497605466968723504
1184475769482825728,1022449381562150913
1184475769482825728,705763745079791617
1184475769482825728,780439554784366592
1184475769482825728,2456165455
1184475769482825728,1471504126890557446
1184475769482825728,1150712699505897473
1184475769482825728,902853369332547585
1184475769482825728,2469365941
1184475769482825728,837163154639462401
1184475769482825728,716526370323505152
1184475769482825728,906529361901215744
1184475769482825728,2242628244
1184475769482825728,1369240559697555458
1184475769482825728,2882658713
1344738920,771622961153396736
1344738920,1280037324504526848
1344738920,1139519706698665984
1344738920,1502307527882862595
1344738920,310908600
1344738920,1284839845861273602
1344738920,1472558789698019330
1344738920,1497605466968723504
1344738920,1329832832047271937
1344738920,1429603854
1344738920,1387004253651099654
1344738920,610131860
1344738920,1317498004199256064
1344738920,833359275233652736
1344738920,1305501019850194944
1344738920,780439554784366592
1344738920,1214557234836865028
1344738920,1428587673116037121
1344738920,802416910813933568
1344738920,1362399517304315905
1344738920,1468957860
1344738920,705763745079791617
1344738920,1247213980797427724
1344738920,1475691974845886464
1344738920,746327100257271816
1344738920,831682449864286208
1344738920,1242738027249586176
1344738920,1170550729628536832
1344738920,1460180698556297221
1344738920,3221574320
1344738920,1277807884861009921
1344738920,1135751408802680832
1344738920,1457724829465935874
1344738920,1273713079587463173
1344738920,1376076218852728834
1344738920,1251386586383527936
1344738920,3308507935
1344738920,4168701552
1344738920,1357736121535397888
1344738920,860040731674775552
1344738920,2872401203
1344738920,3220242762
1344738920,3117377938
1344738920,1071853071142141952
1344738920,721713204980817927
1344738920,1150712699505897473
1344738920,1151750810474143744
1344738920,3320026471
1344738920,1305910070782251009
1344738920,473729548
1344738920,1392017677724516353
1344738920,1379709485325840387
1344738920,1358605516960899075
1344738920,850556860411269121
1344738920,1443174622287962112
1344738920,1436187424506277898
1344738920,1116029468999426048
1344738920,1098839084162789376
1344738920,1248995104817324034
1344738920,902853369332547585
1344738920,3254808349
1344738920,1251799687868252161
1344738920,1366336069319335943
1344738920,935333372267601920
1344738920,1355748483127369730
1344738920,2469365941
1344738920,3285419862
1344738920,3076385250
1344738920,1327638262920273920
1344738920,1178865431995535360
1344738920,102233381
1344738920,804911994717384705
1344738920,1282056202403434498
1344738920,1211814291847839745
1344738920,3314544536
1133076940842102784,1300814862130360320
1133076940842102784,1508803611714891800
1133076940842102784,705763745079791617
1133076940842102784,17538244
1133076940842102784,1403983669908303874
1133076940842102784,1475691974845886464
1133076940842102784,3221574320
1133076940842102784,1471504126890557446
1133076940842102784,1497823537679114241
1133076940842102784,958759926549147649
1133076940842102784,780439554784366592
1133076940842102784,860040731674775552
1133076940842102784,1305910070782251009
1133076940842102784,1429603854
1133076940842102784,1248995104817324034
1133076940842102784,1022449381562150913
1133076940842102784,1428587673116037121
1133076940842102784,1284178990345809920
1133076940842102784,1497605466968723504
1133076940842102784,725384293766291456
1133076940842102784,2469365941
1133076940842102784,1284839845861273602
1133076940842102784,1355748483127369730
1133076940842102784,1472558789698019330
1133076940842102784,1436187424506277898
1284839845861273602,1613156095
1284839845861273602,746327100257271816
1284839845861273602,1447585902323113993
1284839845861273602,802416910813933568
1284839845861273602,1277637088842784769
1284839845861273602,1429603854
1284839845861273602,1344738920
1284839845861273602,1133076940842102784
1284839845861273602,958759926549147649
1284839845861273602,1280037324504526848
1284839845861273602,1472558789698019330
1284839845861273602,1497605466968723504
1284839845861273602,974875971110158336
1284839845861273602,1150712699505897473
1284839845861273602,1475691974845886464
1284839845861273602,1471034166439342096
1284839845861273602,1248995104817324034
1284839845861273602,1431620243307188224
1284839845861273602,1157276842371383296
1284839845861273602,1357736121535397888
1284839845861273602,1329832832047271937
1284839845861273602,365417097
1284839845861273602,1462739030211129348
1284839845861273602,850556860411269121
1284839845861273602,1267050143838113794
1284839845861273602,780439554784366592
1284839845861273602,3274985820
1284839845861273602,860040731674775552
1284839845861273602,1160214943372759041
1284839845861273602,1154274912703356928
1284839845861273602,3034153315
1284839845861273602,1403983669908303874
1284839845861273602,1389386234
1284839845861273602,1300814862130360320
1284839845861273602,2872401203
1284839845861273602,834992149758255104
1284839845861273602,705763745079791617
1284839845861273602,3220242762
1284839845861273602,725384293766291456
1284839845861273602,1133631636933713921
1284839845861273602,1116029468999426048
1284839845861273602,2469365941
1284839845861273602,3274572859
1284839845861273602,1428587673116037121
1284839845861273602,1436187424506277898
1284839845861273602,1305910070782251009
1284839845861273602,1271467185886511110
1284839845861273602,2837508577
1284839845861273602,1251386586383527936
1497605466968723504,4695558013
1497605466968723504,1473893833461043203
1497605466968723504,1230048972850356224
1497605466968723504,1355217587714449409
1497605466968723504,1498162372950642689
1497605466968723504,1489178779738013698
1497605466968723504,1447585902323113993
1497605466968723504,1372972539236917249
1497605466968723504,959071665488474114
1497605466968723504,1267050143838113794
1497605466968723504,1242738027249586176
1497605466968723504,834992149758255104
1497605466968723504,945623427754352640
1497605466968723504,802416910813933568
1497605466968723504,3320026471
1497605466968723504,1477144962286243849
1497605466968723504,2838973913
1497605466968723504,1447084409018990595
1497605466968723504,1460180698556297221
1497605466968723504,1280037324504526848
1497605466968723504,1357736121535397888
1497605466968723504,850556860411269121
1497605466968723504,831682449864286208
1497605466968723504,1133076940842102784
1497605466968723504,1071853071142141952
1497605466968723504,746327100257271816
1497605466968723504,1498649991052607489
1497605466968723504,1253945298461708291
1497605466968723504,1497823537679114241
1497605466968723504,2872401203
1497605466968723504,1248995104817324034
1497605466968723504,1154274912703356928
1497605466968723504,3308507935
1497605466968723504,1344738920
1497605466968723504,725384293766291456
1497605466968723504,1403983669908303874
1497605466968723504,1428587673116037121
1497605466968723504,778520107177738240
1497605466968723504,1472558789698019330
1497605466968723504,1355748483127369730
1497605466968723504,3220242762
1497605466968723504,883720758723092480
1497605466968723504,1300814862130360320
1497605466968723504,1150712699505897473
1497605466968723504,1284839845861273602
1497605466968723504,1096420776914210816
1497605466968723504,3151722703
1497605466968723504,1250017084890726405
1497605466968723504,827629337809653761
1497605466968723504,974875971110158336
1497605466968723504,1305910070782251009
1497605466968723504,860040731674775552
1497605466968723504,958759926549147649
1497605466968723504,3274985820
1497605466968723504,705763745079791617
1497605466968723504,1436187424506277898
1497605466968723504,3034153315
1497605466968723504,1284178990345809920
1497605466968723504,1184475769482825728
1497605466968723504,1022449381562150913
1497605466968723504,2469365941
1497605466968723504,1429603854
1497605466968723504,780439554784366592
1497605466968723504,1475691974845886464
